path	line	categories	source_line	context
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	15		import org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Annotation;	import org.rebecalang.compiler.CompilerConfig; import org.rebecalang.compiler.modelcompiler.RebecaModelCompiler; import org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Annotation; import org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.BinaryExpression; import org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.BlockStatement; import org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ConstructorDeclaration;
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	36		import org.springframework.context.annotation.AnnotationConfigApplicationContext;	import org.rebecalang.compiler.utils.CompilerExtension; import org.rebecalang.compiler.utils.CoreVersion; import org.rebecalang.compiler.utils.ExceptionContainer; import org.springframework.context.annotation.AnnotationConfigApplicationContext; /** * Trusted adapter from the existing Timed Rebeca parser AST to the
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	43	priority-reference	* Lingua Franca translation and no priority sorting.	* versioned ReLico multiple-message-server finite-store JSON bridge. * * The adapter preserves parser declaration order. It performs no * Lingua Franca translation and no priority sorting. */ public final class RebecaMultiStoreJsonExporter {
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	49	local-priority-extraction	private static final String LOCAL_PRIORITY_ANNOTATION =	"private static final int SCHEMA_VERSION = 3; private static final String LOCAL_PRIORITY_ANNOTATION = ""priority""; private RebecaMultiStoreJsonExporter() {"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	50	local-priority-extraction	"""priority"";"	"private static final int SCHEMA_VERSION = 3; private static final String LOCAL_PRIORITY_ANNOTATION = ""priority""; private RebecaMultiStoreJsonExporter() { }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	77		AnnotationConfigApplicationContext context =	} try ( AnnotationConfigApplicationContext context = new AnnotationConfigApplicationContext( CompilerConfig.class )
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	78		new AnnotationConfigApplicationContext(	try ( AnnotationConfigApplicationContext context = new AnnotationConfigApplicationContext( CompilerConfig.class ) ) {
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	214	annotation-access	stateField.getAnnotations(),	"} requireEmpty( stateField.getAnnotations(), ""state-variable annotations"" );"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	215	annotation-access	"""state-variable annotations"""	"requireEmpty( stateField.getAnnotations(), ""state-variable annotations"" ); return"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	271	annotation-access	constructor.getAnnotations(),	"); requireEmpty( constructor.getAnnotations(), ""constructor annotations"" );"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	272	annotation-access	"""constructor annotations"""	"requireEmpty( constructor.getAnnotations(), ""constructor annotations"" ); List<MsgsrvDeclaration> messageServers ="
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	316		"""main actor"""	"requireOne( mainDeclaration .getMainRebecDefinition(), ""main actor"" ); requireEmpty("
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	320	annotation-access	actor.getAnnotations(),	"); requireEmpty( actor.getAnnotations(), ""main-actor annotations"" );"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	321	annotation-access	"""main-actor annotations"""	"requireEmpty( actor.getAnnotations(), ""main-actor annotations"" ); requireEmpty("
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	337		"""main actor"""	"String actorName = requireName( actor.getName(), ""main actor"" ); if (actor.getType() == null) {"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	342		"""main actor without a class type"""	"if (actor.getType() == null) { throw unsupported( ""main actor without a class type"" ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	349		"""main actor class"""	"String actorClass = requireName( actor.getType().getTypeName(), ""main actor class"" ); if (!className.equals(actorClass)) {"
