source	path	line	matched_categories	excerpt
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/corerebeca/CoreRebecaCompleteCompilerFacade.java	103	priority	"public static final String PRIORITY_LABEL = ""priority""; public static final String GLOBAL_PRIORITY_LABEL = ""globalPriority"";"
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/corerebeca/CoreRebecaCompleteCompilerFacade.java	624	priority	"if (annotation.getIdentifier().equals(PRIORITY_LABEL) || annotation.getIdentifier().equals(GLOBAL_PRIORITY_LABEL)) { CodeCompilationException cce = new CodeCompilationException(""Core Rebeca does not support priority"", annotation.getLineNumber(), annotation.getCharacter());"
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/corerebeca/statementsemanticchecker/expression/NondetExpressionSemanticCheck.java	49	determinism	"CodeCompilationException cce = new CodeCompilationException( ""Non-deterministic terms must be constant expressions"", 0, 0);"
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/corerebeca/statementsemanticchecker/expression/NondetExpressionSemanticCheck.java	63	determinism	"CodeCompilationException cce = new CodeCompilationException( ""Non-deterministic expression must have at least two different choices"", ndExpression.getLineNumber(), ndExpression"
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/corerebeca/statementsemanticchecker/expression/NondetExpressionSemanticCheck.java	70	determinism	"CodeCompilationException cce = new CodeCompilationException( ""Only message servers are allowed to have non-deterministic expression"", ndExpression.getLineNumber(), ndExpression"
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaComplete.tokens	5	priority	GUARD=4 PRIORITIES=5 PRIME=6
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaComplete.tokens	104	priority	'guard'=4 'priorities'=5 '\''=6
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteLexer.java	22	priority	public static final int MODE=1, PHYSICALCLASS=2, INV=3, GUARD=4, PRIORITIES=5, PRIME=6, AFTER=7, DEADLINE=8, MONKEYS_AT=9, BREAK=10, CASE=11, CONTINUE=12, DEFAULT=13,
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteLexer.java	48	priority	"return new String[] { ""MODE"", ""PHYSICALCLASS"", ""INV"", ""GUARD"", ""PRIORITIES"", ""PRIME"", ""AFTER"", ""DEADLINE"", ""MONKEYS_AT"", ""BREAK"", ""CASE"", ""CONTINUE"", ""DEFAULT"", ""ELSE"","
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteLexer.java	70	priority	"return new String[] { null, ""'mode'"", ""'physicalclass'"", ""'inv'"", ""'guard'"", ""'priorities'"", ""'''"", ""'after'"", ""'deadline'"", ""'@'"", ""'break'"", ""'case'"", ""'continue'"","
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteLexer.java	88	priority	"return new String[] { null, ""MODE"", ""PHYSICALCLASS"", ""INV"", ""GUARD"", ""PRIORITIES"", ""PRIME"", ""AFTER"", ""DEADLINE"", ""MONKEYS_AT"", ""BREAK"", ""CASE"", ""CONTINUE"", ""DEFAULT"","
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteLexer.tokens	5	priority	GUARD=4 PRIORITIES=5 PRIME=6
