source	path	line	matched_categories	excerpt
official-modelchecker	src/main/java/org/rebecalang/modelchecker/corerebeca/CoreRebecaDFSModelChecker.java	56	scheduler	List<ActorState> enabledActors = currentState.getEnabledActors(); if (enabledActors.isEmpty())
official-modelchecker	src/main/java/org/rebecalang/modelchecker/corerebeca/CoreRebecaDFSModelChecker.java	57	scheduler	"List<ActorState> enabledActors = currentState.getEnabledActors(); if (enabledActors.isEmpty()) throw new ModelCheckingException(""Deadlock"");"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/corerebeca/CoreRebecaDFSModelChecker.java	59	scheduler	"throw new ModelCheckingException(""Deadlock""); for (ActorState actorState : enabledActors) { do {"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/corerebeca/CoreRebecaModelChecker.java	50	scheduler	State<ActorState> currentState = nextStatesQueue.pollFirst(); List<ActorState> enabledActors = currentState.getEnabledActors(); if (enabledActors.isEmpty())
official-modelchecker	src/main/java/org/rebecalang/modelchecker/corerebeca/CoreRebecaModelChecker.java	51	scheduler	"List<ActorState> enabledActors = currentState.getEnabledActors(); if (enabledActors.isEmpty()) throw new ModelCheckingException(""Deadlock"");"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/corerebeca/CoreRebecaModelChecker.java	53	scheduler	"throw new ModelCheckingException(""Deadlock""); for (ActorState actorState : enabledActors) { do {"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/corerebeca/State.java	46	scheduler	public List<T> getEnabledActors() { LinkedList<T> enabledActors = new LinkedList<T>();
official-modelchecker	src/main/java/org/rebecalang/modelchecker/corerebeca/State.java	47	scheduler	public List<T> getEnabledActors() { LinkedList<T> enabledActors = new LinkedList<T>(); for (T baseActorState : getAllActorStates()) {
official-modelchecker	src/main/java/org/rebecalang/modelchecker/corerebeca/State.java	50	scheduler	if (!baseActorState.actorQueueIsEmpty()) enabledActors.add(baseActorState); else if (baseActorState.variableIsDefined(InstructionUtilities.PC_STRING))
official-modelchecker	src/main/java/org/rebecalang/modelchecker/corerebeca/State.java	52	scheduler	else if (baseActorState.variableIsDefined(InstructionUtilities.PC_STRING)) enabledActors.add(baseActorState); }
official-modelchecker	src/main/java/org/rebecalang/modelchecker/corerebeca/State.java	54	scheduler	} return enabledActors; }
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/FGTSModelChecker.java	38	scheduler	currentState.checkForTimeStep(enablingTime); List<TimedActorState> enabledActors = currentState.getEnabledActors(enablingTime);
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/FGTSModelChecker.java	40	scheduler	"if (enabledActors.isEmpty()) throw new ModelCheckingException(""Deadlock"");"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/FGTSModelChecker.java	43	scheduler	for (TimedActorState currentActorState : enabledActors) { do {
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/FTTSModelChecker.java	38	scheduler	currentState.checkForTimeStep(enablingTime); List<TimedActorState> enabledActors = currentState.getEnabledActors(enablingTime);
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/FTTSModelChecker.java	40	scheduler	"if (enabledActors.isEmpty()) throw new ModelCheckingException(""Deadlock"");"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/FTTSModelChecker.java	43	scheduler	for (TimedActorState currentActorState : enabledActors) { do {
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedActorState.java	34	priority	protected int priority = Integer.MAX_VALUE;
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedActorState.java	45	priority	public int getPriority() { return priority; }
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedActorState.java	48	priority	public void setPriority(int priority) { this.priority = priority;
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedActorState.java	49	priority	public void setPriority(int priority) { this.priority = priority; }
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedActorState.java	259	scheduler	"if (msgItem.getItem().getMinStartTime() <= currentTime) { // If there are no selected messages yet, or if the current message is preferred based on the scheduling policy if (selectedMessages.isEmpty() || SchedulingPolicy.compare(schedulingPolicy, msgItem.getItem(), selectedMessages.get(0).getItem(), ""<"")) {"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	16	priority	private int relativeDeadline; protected int priority = Integer.MAX_VALUE;
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	20	priority	String messageName, int priority, Map<String, Object> parameters,
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	31	priority	this.period = period; this.priority = priority; this.relativeDeadline = relativeDeadline;
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	39	priority	int result = super.hashCode(); result = prime * result + priority; return result;
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	49	priority	if (priority != other.priority) return false;
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	83	priority	public int getPriority() { return priority; }
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	86	priority	public void setPriority(int priority) { this.priority = priority;
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	87	priority	public void setPriority(int priority) { this.priority = priority; }
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedRebecaModelChecker.java	100	scheduler	"List<Annotation> annotations; String scheduling; if(!(annotations = definition.getAnnotations()).isEmpty() && !(Objects.requireNonNull(scheduling = getAnnotation(annotations, ""schedulingPolicy""))).isEmpty()) {"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedRebecaModelChecker.java	101	scheduler	"String scheduling; if(!(annotations = definition.getAnnotations()).isEmpty() && !(Objects.requireNonNull(scheduling = getAnnotation(annotations, ""schedulingPolicy""))).isEmpty()) { actorState.setSchedulingPolicy(SchedulingPolicy.getSchedulingPolicy(scheduling));"
