source	path	line	matched_categories	excerpt
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/README.md	5	determinism	This repository accompanies the ReLico work on bridging **formally verified Timed Rebeca models** to **executable Lingua Franca programs**. Its purpose is to reduce the gap between formal verification and deployment by automatically translating verified models into a deterministic, time-aware execution framework.
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/README.md	372	scheduler|determinism	Timed Rebeca is an actor-based language for modeling and verifying concurrent and real-time systems. Lingua Franca is a deterministic coordination language based on the reactor model. ReLico translates a deterministic subset of Timed Rebeca into Lingua Franca while preserving the timing and scheduling structure needed for execution and analysis.
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/README.md	376	determinism	- translates **Deterministic Timed Rebeca (DTR)** models into **Lingua Franca**, - maps actor/message-server structure to reactors, ports, actions, and reactions,
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/README.md	378	message-server-priority|priority	- maps actor/message-server structure to reactors, ports, actions, and reactions, - preserves local message-server priority using LF reaction declaration order, - translates timing behavior based on the `after(...)` construct,
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/README.md	384	determinism	ReLico currently targets a deterministic subset of Timed Rebeca.
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/README.md	388	determinism	- actor execution is deterministic, - scheduling conflicts are resolved by explicit `@priority(...)`,
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/README.md	389	priority|scheduler	- actor execution is deterministic, - scheduling conflicts are resolved by explicit `@priority(...)`, - the `after(...)` timing primitive is supported,
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/README.md	426	trace-or-step	- RMC code generation, compilation, and verification times, - RMC reached state-space size and transition count, - LF verification/model generation, Uclid/SMT generation, and Z3 solving times,
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/benchmarks/Arithmetic_test.rebeca	30	priority	@priority(1) msgsrv send() {
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/benchmarks/Sender_and_Receiver.rebeca	10	priority	@priority(1) msgsrv sendMessage(int data){
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/benchmarks/Sender_and_Receiver.rebeca	17	priority	reactiveclass Receiver(100) { @priority(1) msgsrv receiveMessage(int data){
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/benchmarks/env_example.rebeca	12	priority	@priority(1) msgsrv sendMsg(int msg){
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/benchmarks/env_example.rebeca	18	priority	@priority(2) msgsrv sendMsg2(int msg){
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/benchmarks/env_example.rebeca	34	priority	@priority(1) msgsrv rcvMsg(int msg, boolean k){
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/benchmarks/env_example.rebeca	39	priority	@priority(2) msgsrv rcvMsg2(int msg, boolean k){
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/benchmarks/env_example.rebeca	50	priority	@priority(3) msgsrv internalrcvMsg(int msg){}
published-parser-artifact	ReLico-fmcad-2026-artifact-v1/benchmarks/env_example.rebeca	55	priority	reactiveclass Router(100){ @priority(1) msgsrv blah(int msg){
