path	line	matched_tokens	source_line	context
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	49	LOCAL_PRIORITY_ANNOTATION	private static final String LOCAL_PRIORITY_ANNOTATION =	"*/ public final class RebecaMultiStoreJsonExporter { private static final int SCHEMA_VERSION = 3; private static final String LOCAL_PRIORITY_ANNOTATION = ""priority""; private RebecaMultiStoreJsonExporter() { }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	207	unsupported	throw unsupported(	"stateField .getType() .getTypeName() ) ) { throw unsupported( ""finite-store state variables "" + ""must have type int"" ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	226	unsupported	throw unsupported(	".stream(); }) .collect(Collectors.toList()); if (stateVariables.isEmpty()) { throw unsupported( ""expected at least one state variable"" ); } List<String> stateVariableNames ="
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	245	unsupported	throw unsupported(	"if ( stateVariable .getVariableInitializer() != null ) { throw unsupported( ""state-variable declaration initializers"" ); } return name;"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	279	unsupported	throw unsupported(	"List<MsgsrvDeclaration> messageServers = reactiveClass.getMsgsrvs(); if (messageServers.isEmpty()) { throw unsupported( ""expected at least one message server"" ); } List<String> messageServerNames ="
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	320	actor.getAnnotations	actor.getAnnotations(),	".getMainRebecDefinition(), ""main actor"" ); requireEmpty( actor.getAnnotations(), ""main-actor annotations"" ); requireEmpty( actor.getBindings(),"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	321	main-actor annotations	"""main-actor annotations"""	"""main actor"" ); requireEmpty( actor.getAnnotations(), ""main-actor annotations"" ); requireEmpty( actor.getBindings(), ""known-rebec bindings"""
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	341	unsupported	throw unsupported(	"actor.getName(), ""main actor"" ); if (actor.getType() == null) { throw unsupported( ""main actor without a class type"" ); } String actorClass ="
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	353	unsupported	throw unsupported(	"actor.getType().getTypeName(), ""main actor class"" ); if (!className.equals(actorClass)) { throw unsupported( ""the main actor must instantiate "" + ""the sole reactive class"" ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	428	unsupported	throw unsupported(	"reactiveClass.getImplements(), ""implemented interfaces"" ); if (reactiveClass.getExtends() != null) { throw unsupported( ""reactive-class inheritance"" ); } if (reactiveClass.isAbstract()) {"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	434	unsupported	throw unsupported(	"""reactive-class inheritance"" ); } if (reactiveClass.isAbstract()) { throw unsupported( ""abstract reactive classes"" ); } }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	504	extractLocalPriority	extractLocalPriority(	"messageServer.getName(), ""message server"" ); String priority = extractLocalPriority( messageServer ); String priorityField = priority == null"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	549	extractLocalPriority	private static String extractLocalPriority(	"""\n"" + prefix + ""]""; } private static String extractLocalPriority( MsgsrvDeclaration messageServer ) { String priority = null;"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	562	message-server annotation	"""message-server annotation"""	"messageServer.getAnnotations() ) { String identifier = requireName( annotation.getIdentifier(), ""message-server annotation"" ); if ( !LOCAL_PRIORITY_ANNOTATION.equals( identifier"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	566	LOCAL_PRIORITY_ANNOTATION	!LOCAL_PRIORITY_ANNOTATION.equals(	"annotation.getIdentifier(), ""message-server annotation"" ); if ( !LOCAL_PRIORITY_ANNOTATION.equals( identifier ) ) { throw unsupported( ""message-server annotation @"" +"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	570	unsupported	throw unsupported(	"if ( !LOCAL_PRIORITY_ANNOTATION.equals( identifier ) ) { throw unsupported( ""message-server annotation @"" + identifier ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	571	message-server annotation	"""message-server annotation @"" +"	"!LOCAL_PRIORITY_ANNOTATION.equals( identifier ) ) { throw unsupported( ""message-server annotation @"" + identifier ); } if (priority != null) {"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	577	unsupported	throw unsupported(	"identifier ); } if (priority != null) { throw unsupported( ""multiple @priority annotations on "" + messageServer.getName() ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	590	unsupported	throw unsupported(	"annotation.getValue(), ""@priority annotation without a value"" ); if (!(value instanceof Literal literal)) { throw unsupported( ""@priority value was not normalized "" + ""to an integer literal"" ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	606	unsupported	throw unsupported(	"BigInteger numeric = new BigInteger(rendered); if (numeric.signum() < 0) { throw unsupported( ""@priority value must be nonnegative"" ); } priority ="
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	686	unsupported	throw unsupported(	"messageServers, indent ); } throw unsupported( ""statement type "" + statement.getClass().getSimpleName() ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	698	unsupported	throw unsupported(	"BinaryExpression assignment, List<String> stateVariables, int indent ) { if (!""="".equals(assignment.getOperator())) { throw unsupported( ""binary expression statement with operator "" + assignment.getOperator() ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	708	unsupported	throw unsupported(	"if ( !(assignment.getLeft() instanceof TermPrimary target) ) { throw unsupported( ""non-variable assignment target"" ); } if (!stateVariables.contains(target.getName())) {"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	714	unsupported	throw unsupported(	"""non-variable assignment target"" ); } if (!stateVariables.contains(target.getName())) { throw unsupported( ""assignment to undeclared state variable "" + target.getName() ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	760	unsupported	throw unsupported(	"if ( !(dotPrimary.getLeft() instanceof TermPrimary receiver) || !""self"".equals(receiver.getName()) ) { throw unsupported( ""non-self message send"" ); } if ("
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	769	unsupported	throw unsupported(	"if ( !(dotPrimary.getRight() instanceof TermPrimary method) ) { throw unsupported( ""message send without a message-server name"" ); } String messageServerName ="
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	785	unsupported	throw unsupported(	"if ( !messageServers.contains( messageServerName ) ) { throw unsupported( ""self-send to undeclared message server "" + messageServerName ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	792	unsupported	throw unsupported(	"messageServerName ); } if (!method.getIndices().isEmpty()) { throw unsupported( ""indexed message-server calls"" ); } ParentSuffixPrimary suffix ="
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	804	unsupported	throw unsupported(	"if ( !(suffix instanceof TimedRebecaParentSuffixPrimary timed) ) { throw unsupported( ""self-send without a Timed Rebeca suffix"" ); } requireEmpty("
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	815	unsupported	throw unsupported(	"timed.getArguments(), ""message arguments"" ); if (timed.getAfterExpression() == null) { throw unsupported( ""self-send without after(...)"" ); } if (timed.getDeadlineExpression() != null) {"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	821	unsupported	throw unsupported(	"""self-send without after(...)"" ); } if (timed.getDeadlineExpression() != null) { throw unsupported( ""deadline(...)"" ); } String delay ="
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	890	unsupported	throw unsupported(	"if (expression instanceof TermPrimary term) { if ( term.getParentSuffixPrimary() != null || !term.getIndices().isEmpty() ) { throw unsupported( ""function calls or indexed expressions"" ); } if (!stateVariables.contains(term.getName())) {"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	896	unsupported	throw unsupported(	"""function calls or indexed expressions"" ); } if (!stateVariables.contains(term.getName())) { throw unsupported( ""reference to undeclared variable "" + term.getName() ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	914	unsupported	throw unsupported(	"""\n"" + prefix + ""}""; } throw unsupported( ""expression type "" + expression.getClass().getSimpleName() ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	925	unsupported	throw unsupported(	"private static String renderNonnegativeIntegerLiteral( Expression expression, String context ) { if (!(expression instanceof Literal literal)) { throw unsupported( context + "" must be an integer literal"" ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	938	unsupported	throw unsupported(	"literal, context ); if (new BigInteger(value).signum() < 0) { throw unsupported( context + "" must be nonnegative"" ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	960	unsupported	throw unsupported(	"); try { new BigInteger(value); } catch (NumberFormatException exception) { throw unsupported( context + "" must be an integer literal, received "" + value ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	976	unsupported	throw unsupported(	"private static <T> T requireOne( List<T> values, String description ) { if (values.size() != 1) { throw unsupported( ""expected exactly one "" + description + "", received "" + values.size() );"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	992	unsupported	throw unsupported(	private static void requireEmpty( Collection<?> values, String description ) { if (!values.isEmpty()) { throw unsupported( description ); } }
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	1006	unsupported	throw unsupported(	") { if ( values.stream().distinct().count() != values.size() ) { throw unsupported( ""duplicate "" + description ); } }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	1018	unsupported	throw unsupported(	private static <T> T requireNonNull( T value, String message ) { if (value == null) { throw unsupported( message ); } return value;
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	1031	unsupported	throw unsupported(	"private static String requireName( String value, String description ) { if (value == null || value.isBlank()) { throw unsupported( description + "" has no name"" ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	1040	unsupported	private static IllegalArgumentException unsupported(	"} return value; } private static IllegalArgumentException unsupported( String construct ) { return new IllegalArgumentException( ""unsupported by the ReLico multi-server parser bridge: "" + construct"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	1044	unsupported	"""unsupported by the ReLico multi-server parser bridge: "" +"	"private static IllegalArgumentException unsupported( String construct ) { return new IllegalArgumentException( ""unsupported by the ReLico multi-server parser bridge: "" + construct ); } private static String spaces(int count) {"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	51	LOCAL_PRIORITY_ANNOTATION	private static final String LOCAL_PRIORITY_ANNOTATION =	"private static final int SCHEMA_VERSION = 3; private static final String LOCAL_PRIORITY_ANNOTATION = ""priority""; private RebecaMultiStorePayloadJsonExporter() { }"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	209	unsupported	throw unsupported(	"stateField .getType() .getTypeName() ) ) { throw unsupported( ""finite-store state variables "" + ""must have type int"" ); }"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	228	unsupported	throw unsupported(	".stream(); }) .collect(Collectors.toList()); if (stateVariables.isEmpty()) { throw unsupported( ""expected at least one state variable"" ); } List<String> stateVariableNames ="
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	247	unsupported	throw unsupported(	"if ( stateVariable .getVariableInitializer() != null ) { throw unsupported( ""state-variable declaration initializers"" ); } return name;"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	281	unsupported	throw unsupported(	"List<MsgsrvDeclaration> messageServers = reactiveClass.getMsgsrvs(); if (messageServers.isEmpty()) { throw unsupported( ""expected at least one message server"" ); } List<String> messageServerNames ="
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	319	actor.getAnnotations	actor.getAnnotations(),	".getMainRebecDefinition(), ""main actor"" ); requireEmpty( actor.getAnnotations(), ""main-actor annotations"" ); requireEmpty( actor.getBindings(),"
