path	line	declaration_kind	declaration_name	matched_terms	source_line
Relico/Correctness/DetailedBoundPayloadEndToEndCorrectness.lean	28			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadEndToEndCorrectness.lean	32			priority	DTR.BoundPayloadBody.priorityTimingWellFormed_nil
Relico/Correctness/DetailedBoundPayloadEndToEndCorrectness.lean	129			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadEndToEndCorrectness.lean	133			priority	DTR.BoundPayloadBody.priorityTimingWellFormed_nil
Relico/Correctness/DetailedBoundPayloadEndToEndCorrectness.lean	363			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadEndToEndCorrectness.lean	447			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadEndToEndCorrectness.lean	711			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadEndToEndCorrectness.lean	1015			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadInvariantCarryingFiniteWeakExecution.lean	84			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadInvariantCarryingFiniteWeakExecution.lean	99			priority	(boundPayloadStep_preserves_priorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadInvariantCarryingFiniteWeakExecution.lean	107			priority	(boundPayloadDispatch_establishes_priorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadInvariantCarryingFiniteWeakExecution.lean	120			priority	(boundPayloadDispatch_establishes_priorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadInvariantCarryingFiniteWeakExecution.lean	163			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadInvariantCarryingFiniteWeakExecution.lean	814			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadInvariantMatches.lean	26			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadInvariantMatches.lean	35			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadInvariantMatches.lean	128			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadInvariantMatches.lean	152			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadRuntimeInvariant.lean	2			priority	import Relico.Correctness.PriorityEligibility
Relico/Correctness/DetailedBoundPayloadRuntimeInvariantPreservation.lean	32			priority	DTR.BoundPayloadBody.PriorityTimingWellFormed
Relico/Correctness/DetailedBoundPayloadRuntimeInvariantPreservation.lean	95			priority	DTR.BoundPayloadStmt.PriorityTimingWellFormed
