layer	path	line_start	line_end	kind	name	qualified_name
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	12	17	abbrev	ActorPriorityAssignment	Relico.DTR.GlobalMultiStorePayloadActorPriority.ActorPriorityAssignment
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	18	23	abbrev	ActorPriorityRequest	Relico.DTR.GlobalMultiStorePayloadActorPriority.ActorPriorityRequest
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	24	31	structure	ReadyActor	Relico.DTR.GlobalMultiStorePayloadActorPriority.ReadyActor
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	32	48	def	lookupPriority	Relico.DTR.GlobalMultiStorePayloadActorPriority.lookupPriority
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	49	65	def	lookupReadyActor	Relico.DTR.GlobalMultiStorePayloadActorPriority.lookupReadyActor
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	66	76	def	simultaneouslyReady	Relico.DTR.GlobalMultiStorePayloadActorPriority.simultaneouslyReady
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	77	89	def	earliestReady	Relico.DTR.GlobalMultiStorePayloadActorPriority.earliestReady
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	90	101	def	sameTimeReadyActors	Relico.DTR.GlobalMultiStorePayloadActorPriority.sameTimeReadyActors
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	102	120	def	requestCoversReadyActors	Relico.DTR.GlobalMultiStorePayloadActorPriority.requestCoversReadyActors
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	121	163	def	selectedHasMinimalPriority	Relico.DTR.GlobalMultiStorePayloadActorPriority.selectedHasMinimalPriority
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	164	203	def	actorPriorityEligibleBool	Relico.DTR.GlobalMultiStorePayloadActorPriority.actorPriorityEligibleBool
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	204	218	def	ActorPriorityEligible	Relico.DTR.GlobalMultiStorePayloadActorPriority.ActorPriorityEligible
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	219	235	instance	instDecidableActorPriorityEligible	Relico.DTR.GlobalMultiStorePayloadActorPriority.instDecidableActorPriorityEligible
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	236	258	def	eligibleActorNames	Relico.DTR.GlobalMultiStorePayloadActorPriority.eligibleActorNames
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	259	301	inductive	ActorPriorityDispatchStep	Relico.DTR.GlobalMultiStorePayloadActorPriority.ActorPriorityDispatchStep
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	302	333	theorem	ActorPriorityDispatchStep.eligible	Relico.DTR.GlobalMultiStorePayloadActorPriority.ActorPriorityDispatchStep.eligible
source	Relico/DTR/GlobalMultiStorePayloadActorPriority.lean	334	371	theorem	ActorPriorityDispatchStep.dispatch	Relico.DTR.GlobalMultiStorePayloadActorPriority.ActorPriorityDispatchStep.dispatch
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	14	19	abbrev	ActorOrderAssignment	Relico.LF.GlobalMultiStorePayloadActorOrder.ActorOrderAssignment
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	20	25	abbrev	ActorOrderRequest	Relico.LF.GlobalMultiStorePayloadActorOrder.ActorOrderRequest
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	26	33	structure	ReadyTargetActor	Relico.LF.GlobalMultiStorePayloadActorOrder.ReadyTargetActor
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	34	50	def	lookupActorOrder	Relico.LF.GlobalMultiStorePayloadActorOrder.lookupActorOrder
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	51	67	def	lookupReadyTargetActor	Relico.LF.GlobalMultiStorePayloadActorOrder.lookupReadyTargetActor
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	68	78	def	targetActorsSimultaneous	Relico.LF.GlobalMultiStorePayloadActorOrder.targetActorsSimultaneous
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	79	91	def	targetEarliestReady	Relico.LF.GlobalMultiStorePayloadActorOrder.targetEarliestReady
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	92	104	def	sameTimeReadyTargetActors	Relico.LF.GlobalMultiStorePayloadActorOrder.sameTimeReadyTargetActors
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	105	123	def	targetOrderCoversReadyActors	Relico.LF.GlobalMultiStorePayloadActorOrder.targetOrderCoversReadyActors
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	124	166	def	selectedHasMinimalActorOrder	Relico.LF.GlobalMultiStorePayloadActorOrder.selectedHasMinimalActorOrder
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	167	206	def	targetActorOrderEligibleBool	Relico.LF.GlobalMultiStorePayloadActorOrder.targetActorOrderEligibleBool
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	207	221	def	TargetActorOrderEligible	Relico.LF.GlobalMultiStorePayloadActorOrder.TargetActorOrderEligible
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	222	238	instance	instDecidableTargetActorOrderEligible	Relico.LF.GlobalMultiStorePayloadActorOrder.instDecidableTargetActorOrderEligible
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	239	262	def	eligibleTargetActorNames	Relico.LF.GlobalMultiStorePayloadActorOrder.eligibleTargetActorNames
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	263	308	inductive	ActorOrderDispatchStep	Relico.LF.GlobalMultiStorePayloadActorOrder.ActorOrderDispatchStep
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	309	343	theorem	ActorOrderDispatchStep.eligible	Relico.LF.GlobalMultiStorePayloadActorOrder.ActorOrderDispatchStep.eligible
target	Relico/LF/GlobalMultiStorePayloadActorOrder.lean	344	381	theorem	ActorOrderDispatchStep.dispatch	Relico.LF.GlobalMultiStorePayloadActorOrder.ActorOrderDispatchStep.dispatch
translation	Relico/Translation/GlobalMultiStorePayloadActorOrder.lean	15	31	def	compileActorPriorityAssignment	Relico.Translation.GlobalMultiStorePayloadActorOrder.compileActorPriorityAssignment
