role	qualified_name	bound	phase
source-base-dispatch	Relico.DTR.GlobalMultiStorePayloadDispatch.Step	true	existing
target-base-dispatch	Relico.LF.GlobalMultiStorePayloadDispatch.Step	true	existing
source-priority-wrapper	Relico.DTR.GlobalMultiStorePayloadActorPriority.ActorPriorityDispatchStep	true	phase4d1b
target-order-wrapper	Relico.LF.GlobalMultiStorePayloadActorOrder.ActorOrderDispatchStep	true	phase4d2b
request-compiler	Relico.Translation.GlobalMultiStorePayloadActorOrder.compileActorPriorityRequest	true	phase4d3b
ready-actor-compiler	Relico.Translation.GlobalMultiStorePayloadActorOrder.compileReadyActors	true	phase4d3b
selection-forward	Relico.Correctness.GlobalMultiStorePayloadActorSelectionCorrespondence.actorSelectionEligible_forward	true	phase4d4b
selection-backward	Relico.Correctness.GlobalMultiStorePayloadActorSelectionCorrespondence.actorSelectionEligible_backward	true	phase4d4b
existing-dispatch-candidate-1	Relico.Correctness.GlobalMultiStorePayloadDispatch.synchronizedGlobalDispatch_forward	scanned	Relico/Correctness/GlobalMultiStorePayloadDispatchCorrespondence.lean
existing-dispatch-candidate-2	Relico.Correctness.GlobalMultiStorePayloadDispatch.synchronizedGlobalDispatch_backward	scanned	Relico/Correctness/GlobalMultiStorePayloadDispatchCorrespondence.lean
existing-dispatch-candidate-3	Relico.Correctness.GlobalMultiStorePayloadDispatch.synchronized_global_metric_time_corresponds	scanned	Relico/Correctness/GlobalMultiStorePayloadDispatchCorrespondence.lean
existing-dispatch-candidate-4	Relico.Correctness.boundPayloadDispatch_backward	scanned	Relico/Correctness/BoundPayloadDispatch.lean
existing-dispatch-candidate-5	Relico.Correctness.concreteDetailed_dispatch_backward	scanned	Relico/Correctness/ConcreteDetailedStateCorrespondence.lean
existing-dispatch-candidate-6	Relico.Correctness.concreteDetailed_consumeReadySameTime_backward_weak	scanned	Relico/Correctness/DetailedBackwardWeakSimulation.lean
existing-dispatch-candidate-7	Relico.Correctness.detailedBoundPayload_timeAdvance_backward_weak	scanned	Relico/Correctness/DetailedBoundPayloadBackwardWeakSimulation.lean
existing-dispatch-candidate-8	Relico.Correctness.detailedBoundPayload_consumeReadySameTime_backward_weak	scanned	Relico/Correctness/DetailedBoundPayloadBackwardWeakSimulation.lean
existing-dispatch-candidate-9	Relico.Correctness.detailedBoundPayload_consumeNow_backward_weak	scanned	Relico/Correctness/DetailedBoundPayloadBackwardWeakSimulation.lean
existing-dispatch-candidate-10	Relico.Correctness.directLFDetailedRuntime_consumeReadySameTime_backward_weak	scanned	Relico/Correctness/DirectLFDetailedBackwardWeakSimulation.lean
