rank	path	score	finite_declaration_count	exact_actor_finite_declaration_count	sha256
1	Relico/Correctness/DetailedBoundPayloadFiniteWeakExecution.lean	50	9	0	f6c4c180eb05d320416032a59d48f8a04d82da1208e6509172a4bd6ecf3377c8
2	Relico/Correctness/DetailedFiniteWeakExecution.lean	50	6	0	dc0147f6ac8467f86eabc49846a33fce8d8979896aa6f07e76754b05b1153669
3	Relico/Correctness/DirectLFDetailedFiniteWeakExecution.lean	50	7	0	b59e2f30a9f7d9a91f5ed16322fe99152d01711245dbe9892fbdd65e23a346a5
4	Relico/Correctness/MultiStorePayloadDetailedFiniteWeakExecution.lean	50	10	0	54cf9fbfd2b52c7bd8b2f97cefe901e0173479d37869643568552137d3e7670a
5	Relico/Correctness/MultiStorePayloadDetailedFiniteWeakExecutionFoundation.lean	50	9	0	9f875f712074051afe80632be08c0804e72eeb547cc5b87881b8b59c9227d523
6	Relico/Tests/DetailedBoundPayloadFiniteWeakExecution.lean	47	2	0	fb83669035c902d6004b7b6431caba92a6d95d8cdfdb0dbb31f9fd52d459cd0d
7	Relico/Correctness/DetailedBoundPayloadEndToEndCorrectness.lean	44	3	0	edbdc0cd3146c08d4698fc4714d0bbfc0026083796240c6eb027d7ac956f65ce
8	Relico/Correctness/DetailedBoundPayloadInvariantCarryingFiniteWeakExecution.lean	44	1	0	02e8b86b8c8f33f6329f295c473ea70feef3f08ae7d07ea4f32ddb3ccb62a5a8
9	Relico/Correctness/DetailedBoundPayloadObservableWeakExecution.lean	44	4	0	be52077f8331c77dafdb1bc39cbd4a8c2e4796850e439c2a4da478cb8423249d
10	Relico/Correctness/DetailedExecutableTranslation.lean	44	2	0	2a46b254e40e0816a1c6442409c63899c3270524838c74e5a0290b961b7ef3fe
11	Relico/Correctness/DetailedInitialFiniteWeakExecution.lean	44	2	0	1be7e81146bc09ab9f59ac1e3fcd4af9288ef5abca3777ca06a270d647a4e4eb
12	Relico/Correctness/DetailedInvariantCarryingFiniteWeakExecution.lean	44	2	0	1a3a8b2cf9485d4fdff77dbca6d5f1eb05f20a8139cd2abca4f9b823741ae8f0
13	Relico/Correctness/DirectLFDetailedObservableWeakExecution.lean	44	4	0	56aab3d6eb8342cb7a22427bed1fb9c6034dd12d5a097f72ea6efae2de847bf8
14	Relico/Correctness/MultiStorePayloadDetailedInvocationFiniteObservable.lean	44	2	0	52b93a86d584bac8ee06a50af7723f68f6838cb29258694af6d4f47afb2aa9b7
15	Relico/Correctness/MultiStorePayloadDetailedObservableWeakExecution.lean	44	8	0	d47458b4fb05690aa3181c0ef5fd7a00297f6f99f401bbe200742e8d8fc18760
16	Relico/Correctness/MultiStorePayloadDetailedStartupCompletion.lean	44	2	0	f49290f69d3c591f7ccf9c388db6979ccbbf45fcb6be1f2b01ce3b2b8e0f679f
17	Relico/Correctness/MultiStorePayloadDetailedStartupEntry.lean	44	2	0	e0e90879c180e7e02fcef0e945784e95826071ac30d7da831ec7bdb3fad66299
18	Relico/Correctness/GlobalMultiStorePayloadFiniteExecutionCorrespondence.lean	43	4	0	6308f02f81de40f16855de972bd2ce188bbd9dd9d1896a41c4037dc4002551a6
19	Relico/Tests/DetailedBoundPayloadEndToEndCorrectness.lean	41	3	0	58afedc2b437f68e32c495246c4b236cdb503dc9284ba20c0fd507c1e523fc37
20	Relico/Tests/DetailedBoundPayloadInvariantCarryingFiniteWeakExecution.lean	41	1	0	7980395af41659c1f532594213e74d83427e4bdb73f70259aaa16a838f767e45
