rank	path	score	relevant_declaration_count	observable_declaration_count	weak_declaration_count	actor_specific_declaration_count	detailed_runtime_declaration_count	sha256
1	Relico/Correctness/GlobalMultiStorePayloadActorFiniteExecution.lean	77	2	2	0	2	0	797d3eda6e6c81546ee94088216757e3d8749ab9fd41e3a3f18ff53d0c30bb6b
2	Relico/Correctness/MultiStorePayloadDetailedFiniteWeakExecutionFoundation.lean	59	9	3	9	0	9	9f875f712074051afe80632be08c0804e72eeb547cc5b87881b8b59c9227d523
3	Relico/Correctness/MultiStorePayloadDetailedObservableWeakExecution.lean	59	15	15	1	0	15	d47458b4fb05690aa3181c0ef5fd7a00297f6f99f401bbe200742e8d8fc18760
4	Relico/Tests/MultiStorePayloadDetailedRuntimeLabelCorrespondence.lean	56	2	1	1	0	1	9db1821e39b35d937172beb2cf009dce718a931a392505ef6dcf6e76dafc01d9
5	Relico/Correctness/DirectLFDetailedFiniteWeakExecution.lean	49	5	3	3	0	5	b59e2f30a9f7d9a91f5ed16322fe99152d01711245dbe9892fbdd65e23a346a5
6	Relico/Correctness/DirectLFDetailedForwardWeakSimulation.lean	49	6	1	5	0	6	3f1f96a3aea1df9e83936669de744981f6b68e24c1f09fe4cdc8d11ae7d09287
7	Relico/Correctness/DirectLFDetailedObservableWeakExecution.lean	49	7	7	1	0	7	56aab3d6eb8342cb7a22427bed1fb9c6034dd12d5a097f72ea6efae2de847bf8
8	Relico/DTR/DetailedMultiStorePayloadWeakSemantics.lean	46	10	2	9	0	10	5b1398478eb8080ab2749301f7e790504718e872e450c6ab8fd7f6042e89428f
9	Relico/LF/DetailedMultiStorePayloadWeakSemantics.lean	46	13	2	12	0	13	c25406a24819867d8b40ddf5eee6ddfb000c034bd8e1aadd89d2c357d97e2514
10	Relico/Correctness/MultiStorePayloadDetailedDispatchWeakMatches.lean	45	11	0	11	0	11	89905121129ac63b20cb77a858693b1c3c157e258c584fdb6684cbda79cad0f2
11	Relico/Correctness/MultiStorePayloadDetailedFiniteWeakExecution.lean	45	4	4	0	0	4	54cf9fbfd2b52c7bd8b2f97cefe901e0173479d37869643568552137d3e7670a
12	Relico/Correctness/MultiStorePayloadDetailedRuntimeLabelCorrespondence.lean	45	2	2	0	0	2	7d99226156741488e514c917eed4cc776d36f80589af2c70ff4b857e84b070a5
13	Relico/Correctness/MultiStorePayloadDetailedStartupCompletion.lean	45	2	2	0	0	2	f49290f69d3c591f7ccf9c388db6979ccbbf45fcb6be1f2b01ce3b2b8e0f679f
14	Relico/Correctness/MultiStorePayloadDetailedStartupEntry.lean	45	2	2	0	0	2	e0e90879c180e7e02fcef0e945784e95826071ac30d7da831ec7bdb3fad66299
15	Relico/Correctness/MultiStorePayloadDetailedStatementBackwardWeakMatch.lean	45	1	0	1	0	1	831410a70e3f324460cb28a60b2b611775631bcd304184e366d85bd802005958
16	Relico/Correctness/MultiStorePayloadDetailedStatementForwardWeakMatch.lean	45	1	0	1	0	1	83ce8f8b0b2c2526fd8117875a1f4e106936763d037d82c210e3024c9ea637db
17	Relico/Correctness/DetailedBoundPayloadFiniteWeakExecution.lean	41	7	3	5	0	7	f6c4c180eb05d320416032a59d48f8a04d82da1208e6509172a4bd6ecf3377c8
18	Relico/Correctness/DetailedBoundPayloadObservableWeakExecution.lean	41	7	7	1	0	7	be52077f8331c77dafdb1bc39cbd4a8c2e4796850e439c2a4da478cb8423249d
19	Relico/Correctness/DetailedFiniteWeakExecution.lean	41	4	2	2	0	4	dc0147f6ac8467f86eabc49846a33fce8d8979896aa6f07e76754b05b1153669
20	Relico/Correctness/DetailedForwardWeakSimulation.lean	41	6	1	5	0	6	bf13b27fd0cac39ac58da27ad6fa9d1eb6046d9af64fdb2e153dea7192a08af4
