benchmark_id	benchmark_directory	source_path	polarity	module_count	obligation_count	required_stage_count
bound-payload--dispatch--positive	tests/translator/bound-payload--dispatch--positive	tests/translator/bound-payload--dispatch--positive/source/model.rebeca	positive	8	99	9
bound-payload--dispatch-parameters--positive	tests/translator/bound-payload--dispatch-parameters--positive	tests/translator/bound-payload--dispatch-parameters--positive/source/model.rebeca	positive	1	22	9
bound-payload--finite-execution--positive	tests/translator/bound-payload--finite-execution--positive	tests/translator/bound-payload--finite-execution--positive/source/model.rebeca	positive	3	44	9
bound-payload--initialization--positive	tests/translator/bound-payload--initialization--positive	tests/translator/bound-payload--initialization--positive/source/model.rebeca	positive	2	53	9
bound-payload--payload-binding--positive	tests/translator/bound-payload--payload-binding--positive	tests/translator/bound-payload--payload-binding--positive/source/model.rebeca	positive	4	44	9
bound-payload--priority-preservation--positive	tests/translator/bound-payload--priority-preservation--positive	tests/translator/bound-payload--priority-preservation--positive/source/model.rebeca	positive	1	20	8
core--dispatch--positive	tests/translator/core--dispatch--positive	tests/translator/core--dispatch--positive/source/model.rebeca	positive	11	62	9
core--initialization--positive	tests/translator/core--initialization--positive	tests/translator/core--initialization--positive/source/model.rebeca	positive	5	36	9
core--one-step-execution--positive	tests/translator/core--one-step-execution--positive	tests/translator/core--one-step-execution--positive/source/model.rebeca	positive	1	4	9
core--priority-selection--positive	tests/translator/core--priority-selection--positive	tests/translator/core--priority-selection--positive/source/model.rebeca	positive	3	54	8
core--queue-correspondence--positive	tests/translator/core--queue-correspondence--positive	tests/translator/core--queue-correspondence--positive/source/model.rebeca	positive	3	23	8
core--runtime-semantics--positive	tests/translator/core--runtime-semantics--positive	tests/translator/core--runtime-semantics--positive/source/model.rebeca	positive	3	21	9
core--trace-execution--positive	tests/translator/core--trace-execution--positive	tests/translator/core--trace-execution--positive/source/model.rebeca	positive	1	4	9
core--weak-semantics--positive	tests/translator/core--weak-semantics--positive	tests/translator/core--weak-semantics--positive/source/model.rebeca	positive	3	47	9
core--well-formedness--negative	tests/translator/core--well-formedness--negative	tests/translator/core--well-formedness--negative/source/model.rebeca	negative	2	34	6
core--well-formedness--positive	tests/translator/core--well-formedness--positive	tests/translator/core--well-formedness--positive/source/model.rebeca	positive	3	7	8
finite-store--dispatch--positive	tests/translator/finite-store--dispatch--positive	tests/translator/finite-store--dispatch--positive/source/model.rebeca	positive	3	38	9
finite-store--frontend-decoding--positive	tests/translator/finite-store--frontend-decoding--positive	tests/translator/finite-store--frontend-decoding--positive/source/model.rebeca	positive	1	11	9
finite-store--initialization--positive	tests/translator/finite-store--initialization--positive	tests/translator/finite-store--initialization--positive/source/model.rebeca	positive	3	18	9
finite-store--priority-selection--positive	tests/translator/finite-store--priority-selection--positive	tests/translator/finite-store--priority-selection--positive/source/model.rebeca	positive	1	9	9
finite-store--queue-correspondence--positive	tests/translator/finite-store--queue-correspondence--positive	tests/translator/finite-store--queue-correspondence--positive/source/model.rebeca	positive	1	4	9
finite-store--runtime-semantics--positive	tests/translator/finite-store--runtime-semantics--positive	tests/translator/finite-store--runtime-semantics--positive/source/model.rebeca	positive	6	45	11
finite-store--trace-execution--positive	tests/translator/finite-store--trace-execution--positive	tests/translator/finite-store--trace-execution--positive/source/model.rebeca	positive	1	4	9
finite-store--well-formedness--positive	tests/translator/finite-store--well-formedness--positive	tests/translator/finite-store--well-formedness--positive/source/model.rebeca	positive	2	28	8
general--arbitrary-msgsrv-ordering--positive	benchmarks/general--arbitrary-msgsrv-ordering--positive	benchmarks/general--arbitrary-msgsrv-ordering--positive/source/model.rebeca	positive	0	0	8
general--arbitrary-rebec-ordering--positive	benchmarks/general--arbitrary-rebec-ordering--positive	benchmarks/general--arbitrary-rebec-ordering--positive/source/model.rebeca	positive	0	0	8
general--causal-msgsrv-chain--positive	benchmarks/general--causal-msgsrv-chain--positive	benchmarks/general--causal-msgsrv-chain--positive/source/model.rebeca	positive	0	0	8
general--causal-rebec-chain--positive	benchmarks/general--causal-rebec-chain--positive	benchmarks/general--causal-rebec-chain--positive/source/model.rebeca	positive	0	0	8
general--circular-msgsrv-ordering--positive	benchmarks/general--circular-msgsrv-ordering--positive	benchmarks/general--circular-msgsrv-ordering--positive/source/model.rebeca	positive	0	0	8
general--circular-rebec-ordering--positive	benchmarks/general--circular-rebec-ordering--positive	benchmarks/general--circular-rebec-ordering--positive/source/model.rebeca	positive	0	0	8
general--message-circulation--positive	benchmarks/general--message-circulation--positive	benchmarks/general--message-circulation--positive/source/model.rebeca	positive	0	0	8
general--partial-msgsrv-ordering--positive	benchmarks/general--partial-msgsrv-ordering--positive	benchmarks/general--partial-msgsrv-ordering--positive/source/model.rebeca	positive	0	0	8
general--partial-rebec-ordering--positive	benchmarks/general--partial-rebec-ordering--positive	benchmarks/general--partial-rebec-ordering--positive/source/model.rebeca	positive	0	0	8
general--periodic-circular-composition--positive	benchmarks/general--periodic-circular-composition--positive	benchmarks/general--periodic-circular-composition--positive/source/model.rebeca	positive	0	0	8
general--periodic-fork-composition--positive	benchmarks/general--periodic-fork-composition--positive	benchmarks/general--periodic-fork-composition--positive/source/model.rebeca	positive	0	0	8
general--periodic-join-composition--positive	benchmarks/general--periodic-join-composition--positive	benchmarks/general--periodic-join-composition--positive/source/model.rebeca	positive	0	0	8
general--periodic-pingpong-composition--positive	benchmarks/general--periodic-pingpong-composition--positive	benchmarks/general--periodic-pingpong-composition--positive/source/model.rebeca	positive	0	0	8
general--periodic-sequential-composition--positive	benchmarks/general--periodic-sequential-composition--positive	benchmarks/general--periodic-sequential-composition--positive/source/model.rebeca	positive	0	0	8
general--trigger-circular-composition--positive	benchmarks/general--trigger-circular-composition--positive	benchmarks/general--trigger-circular-composition--positive/source/model.rebeca	positive	0	0	8
general--trigger-pingpong-composition--positive	benchmarks/general--trigger-pingpong-composition--positive	benchmarks/general--trigger-pingpong-composition--positive/source/model.rebeca	positive	0	0	8
general--trigger-sequential-composition--positive	benchmarks/general--trigger-sequential-composition--positive	benchmarks/general--trigger-sequential-composition--positive/source/model.rebeca	positive	0	0	8
global-multi-actor-payload--external-send--positive	tests/translator/global-multi-actor-payload--external-send--positive	tests/translator/global-multi-actor-payload--external-send--positive/source/model.rebeca	positive	2	35	9
global-multi-actor-payload--external-send-frame--positive	tests/translator/global-multi-actor-payload--external-send-frame--positive	tests/translator/global-multi-actor-payload--external-send-frame--positive/source/model.rebeca	positive	2	10	9
global-multi-actor-payload--external-send-statement--positive	tests/translator/global-multi-actor-payload--external-send-statement--positive	tests/translator/global-multi-actor-payload--external-send-statement--positive/source/model.rebeca	positive	1	24	9
global-multi-actor-payload--finite-execution--positive	tests/translator/global-multi-actor-payload--finite-execution--positive	tests/translator/global-multi-actor-payload--finite-execution--positive/source/model.rebeca	positive	1	4	9
